path_id,x,y,z
0,-46.7976,-117.6257,77.3000
1,-46.2113,-120.0113,77.5000
2,-46.4941,-120.2941,79.3000
3,-41.3961,-123.0433,79.3000
4,-45.7000,-110.5000,77.3000
5,-45.3651,-110.1838,77.5000
6,-44.7000,-107.1000,77.3000
7,-44.4281,-105.0726,77.3000
8,-44.1000,-102.9000,77.3000
9,-43.8281,-101.6726,77.3000
10,-43.9000,-100.7000,77.3000
11,-43.6021,-100.6499,77.3000
12,-43.5976,-99.6257,77.3000
13,-43.1976,-97.4257,77.3000
14,-36.9000,-88.7000,77.3000
15,-28.0917,-90.0917,77.3000
16,-27.2176,-98.2978,77.7000
17,-27.2045,-99.6307,77.5000
18,-28.5872,-102.6508,77.5000
19,-28.6045,-102.9693,77.5000
20,-28.3000,-105.7000,77.3000
21,-28.3000,-107.3000,77.5000
22,-28.6045,-107.8307,77.5000
23,-29.8176,-110.2978,77.5000
24,-28.7000,-117.7000,77.5000
